name,category,address,road_address,phone,url,latitude,longitude,menu
강필남소머리국밥,한식,경기 안성시 보개면 남풍리 1299-5,경기 안성시 보개면 보개원삼로 840,,http://place.map.kakao.com/19925870,,,
광진한식뷔페,한식,경기 안성시 보개면 불현리 78,경기 안성시 보개면 보개원삼로 269,,http://place.map.kakao.com/1017362401,,,
춘천본닭갈비,한식,경기 안성시 금광면 신양복리 427-1,경기 안성시 금광면 진안로 1128,031-674-8883,http://place.map.kakao.com/1752825710,,,
입장맛집한식뷔페,한식,경기 안성시 서운면 현매리 224-7,경기 안성시 서운면 서미로 5,031-676-8880,http://place.map.kakao.com/510525188,,,
대물림안성장터국밥,한식,경기 안성시 미양면 계륵리 142-1,경기 안성시 미양면 구례골길 170-17,031-674-9494,http://place.map.kakao.com/10590326,,,
정가네 돼지국밥,한식,경기 안성시 미양면 양변리 270,경기 안성시 미양면 안성맞춤대로 339,031-677-9669,http://place.map.kakao.com/8062122,,,
신부숯불갈비,한식,경기 안성시 미양면 보체리 247-9,경기 안성시 미양면 안성맞춤대로 511,031-677-8514,http://place.map.kakao.com/10067232,,,
개정리갈비탕,한식,경기 안성시 미양면 개정리 348-59,경기 안성시 미양면 미양로 142,031-673-4799,http://place.map.kakao.com/1373156555,,,
강's김밥,한식,경기 안성시 미양면 계륵리 201-8,경기 안성시 미양면 제2공단2길 116,,http://place.map.kakao.com/130941018,,,
왕성골순대국,한식,경기 안성시 미양면 마산리 3-2,경기 안성시 미양면 은골길 109,031-673-3200,http://place.map.kakao.com/1211075020,,,
하정가한식부페,한식,경기 안성시 미양면 양변리 239-9,경기 안성시 미양면 안성맞춤대로 406,031-677-2070,http://place.map.kakao.com/711313128,,,
용인토종순대국 남안성IC점,한식,경기 안성시 미양면 계륵리 192-7,경기 안성시 미양면 제2공단2길 108,031-672-8544,http://place.map.kakao.com/9297466,,,
집밥한식뷔페,한식,경기 안성시 미양면 구수리 316-7,경기 안성시 미양면 제2공단5길 16-102,031-677-5989,http://place.map.kakao.com/1083812136,,,
팔도삼겹,한식,경기 안성시 대덕면 내리 323-8,경기 안성시 대덕면 중앙대학로 88,031-675-9259,http://place.map.kakao.com/27166012,,,
미당참순대,한식,경기 안성시 대덕면 모산리 418-2,경기 안성시 대덕면 배꽃길 2,031-672-2544,http://place.map.kakao.com/427641314,,,
병천순대,한식,경기 안성시 대덕면 내리 684-2,경기 안성시 대덕면 대학9길 17,031-675-8590,http://place.map.kakao.com/18272133,,,
안성명가명당리왕갈비탕,한식,경기 안성시 대덕면 명당리 31-7,경기 안성시 대덕면 만세로 487,031-674-7082,http://place.map.kakao.com/544754272,,,
돼지네국밥,한식,경기 안성시 대덕면 소내리 161-3,경기 안성시 대덕면 무능로 16,031-677-2303,http://place.map.kakao.com/1146017902,,,
한우소머리국밥 2호점,한식,경기 안성시 양성면 노곡리 451-3,경기 안성시 양성면 노곡길 37-30,031-674-8887,http://place.map.kakao.com/1525880591,,,
백제갈비 평택점,한식,경기 안성시 원곡면 외가천리 248-8,경기 안성시 원곡면 만세로 1443-8,031-691-4592,http://place.map.kakao.com/1926520432,,,
통큰손쭈꾸미마을 평택점,한식,경기 안성시 원곡면 외가천리 233-5,경기 안성시 원곡면 만세로 1415,031-655-6656,http://place.map.kakao.com/1285255527,,,
명동짜글이삼겹살,한식,경기 안성시 고삼면 가유리 213-4,경기 안성시 고삼면 안성맞춤대로 1969,031-677-7350,http://place.map.kakao.com/338100282,,,
고삼숯불갈비,한식,경기 안성시 고삼면 봉산리 612-11,경기 안성시 고삼면 이전봉산길 439-12,,http://place.map.kakao.com/23390791,,,
봉순대,한식,경기 안성시 삼죽면 진촌리 424-2,경기 안성시 삼죽면 서동대로 6190,031-677-3698,http://place.map.kakao.com/15740902,,,
연재숯불갈비,한식,경기 안성시 삼죽면 용월리 469-5,,031-672-6667,http://place.map.kakao.com/1210152926,,,
국밥참맛있는집 동아방송대점,한식,경기 안성시 삼죽면 진촌리 559-6,경기 안성시 삼죽면 동아예대길 46,010-4539-8258,http://place.map.kakao.com/569561888,,,
그남자의쭈꾸미,한식,경기 안성시 죽산면 매산리 479-8,경기 안성시 죽산면 죽양대로 196,031-676-1910,http://place.map.kakao.com/1442569877,,,
한식뷔페 궁,한식,경기 안성시 죽산면 죽산리 34,경기 안성시 죽산면 서동대로 7030-12,031-677-6228,http://place.map.kakao.com/68992179,,,
태영한우소머리국밥,한식,경기 안성시 죽산면 장원리 223-4,경기 안성시 죽산면 송문주로 779,010-5664-6819,http://place.map.kakao.com/2054135337,,,
다온한식뷔페,한식,경기 안성시 죽산면 죽산리 494,경기 안성시 죽산면 죽주로 268-1,031-678-6228,http://place.map.kakao.com/1857100164,,,
장터순대,한식,경기 안성시 죽산면 죽산리 105-13,경기 안성시 죽산면 장원남산길 4,031-675-9666,http://place.map.kakao.com/21701077,,,
고바우순대국,한식,경기 안성시 일죽면 송천리 316-1,경기 안성시 일죽면 내둔길 69,010-7566-0220,http://place.map.kakao.com/908374308,,,
청춘꼬마김밥앤떡볶이 안성일죽점,한식,경기 안성시 일죽면 송천리 19-13,경기 안성시 일죽면 송천길 78,031-673-4088,http://place.map.kakao.com/849665398,,,
홍성한우한식뷔페기사식당,한식,경기 평택시 합정동 513-1,경기 평택시 중앙2로 91,,http://place.map.kakao.com/1852324467,,,
춘천닭갈비,한식,경기 안성시 연지동 142,경기 안성시 중앙로371번길 64,031-676-1172,http://place.map.kakao.com/8586769,,,
진짜한우암소국밥,한식,경기 안성시 서인동 83,경기 안성시 시장길 13,031-677-5155,http://place.map.kakao.com/15700872,,,
박가네돼지국밥,한식,경기 안성시 봉산동 65-6,경기 안성시 장기로 138-1,031-677-3948,http://place.map.kakao.com/25968804,,,
할머니야채순대,한식,경기 안성시 봉산동 50-2,경기 안성시 중앙로 453,031-673-2525,http://place.map.kakao.com/16486537,,,
명륜진사갈비 안성시청점,한식,경기 안성시 가사동 79-2,경기 안성시 삼거리길 29,031-675-6444,http://place.map.kakao.com/720426023,,,
미나리와삼겹살,한식,경기 안성시 낙원동 403-14,경기 안성시 낙원길 98,031-673-6699,http://place.map.kakao.com/19512016,,,
한뚝수육국밥 안성이마트점,한식,경기 안성시 석정동 132,경기 안성시 아양2로 100,031-676-9882,http://place.map.kakao.com/1773325340,,,
돌쇠국밥,한식,경기 안성시 석정동 260-17,경기 안성시 석정2길 20-1,,http://place.map.kakao.com/308881109,,,
대원갈비,한식,경기 안성시 석정동 279-7,경기 안성시 내혜홀2길 63,031-675-5982,http://place.map.kakao.com/14566982,,,
춘천닭갈비,한식,경기 안성시 연지동 142,경기 안성시 중앙로371번길 64,031-676-1172,http://place.map.kakao.com/8586769,,,
